,,,,Hammer Curls 4/10/10,12/10,10/13,15/11,10/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Barbell Curls 4/8/20,9/20,9/20,9/20,9/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Feb 20,Pull ups To failure x3,7.5,6+2,2 unable to go up,10,0,decrease to 2 sets,,Feb 21,Smith Machine Incline Bench 3/9/45,Warmup,9/45,8.5/45,6/45,8/40,Feels Fucking Amazing / Align the bar right above my nipples / Decrease weight to 40 and focus on consistent reps or 7/45 * 2 + 8/40 * 2,,Feb 22,Perfect Squats 3/8/20,8,8,8,,20,Keep back straight,,,,,,,,,,,,,,,,,,,
,,,1445,N-grip Pull ups to Failure x2,6.5,5.5,,,,decrease to 2 sets,,1525,Dumbell Chest Press 3/12/12ea,10/12,13/10,13/10,,,Need to focus more on posture / stick with 10 for a while,,1532,Seated leg press 3/8/40,8,8,8,,40,Place feet lower,,,,,,,,,,,,,,,,,,,
,,,1600,T-bar rows 3/10/20,12,12,12,,20,nauscious and lower back pain Completly drained out,,1705,Pec Dec flies 3/10/35,12/40,9/40,7/40,,,pause 3 seconds,,1611,Hip abductions 3/12/72.5,12,11,8,,,,,,,,,,,,,,,,,,,,,,
,,,,Lat rope pull downs 3/12/40,14/35,12/40,8/45,,,Stick to 12/40,,,Machine Chest Press 3/10/40,testing other machines,7/30,10/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Seated cable row 3/12/40,8/36,8/36,,,,,,,Military press 3/8/25,10/25,10/25,7/25,8/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Rope pull down (back),10/32,8.5/32,,,,,,,Overhead Tricep Rope Pull down 2/12/27.5,18/27.5,9/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hammer Curls 3/10/10,12/10,11/10,6/10,,,Maybe go with 2 sets,,,Tricep Rope Pull down 2/12/27.5,7/27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Preacher Curls 3/10/30,12/30,12/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
